Gloss,Videos,Top-1 (%),Top-5 (%),Average Rank,Median Rank,Best Rank,Worst Rank,Most Common Wrong Prediction,Wrong Prediction Count
BISON,12,100.0,100.0,1.0,1.0,1,1,NONE,0
EASTER,13,100.0,100.0,1.0,1.0,1,1,NONE,0
EIGHT,10,100.0,100.0,1.0,1.0,1,1,NONE,0
HUNDRED,12,100.0,100.0,1.0,1.0,1,1,NONE,0
INDEPENDENT,10,100.0,100.0,1.0,1.0,1,1,NONE,0
ORGANIZATION,13,100.0,100.0,1.0,1.0,1,1,NONE,0
WATERSKI,12,100.0,100.0,1.0,1.0,1,1,NONE,0
WORKSHOP,12,100.0,100.0,1.0,1.0,1,1,NONE,0
BREAK,13,92.31,100.0,1.23,1.0,1,4,DRAWER,1
DEPARTMENT,13,92.31,100.0,1.23,1.0,1,4,ORGANIZATION,1
BADGE,12,91.67,100.0,1.08,1.0,1,2,CARDS,1
FAMILY,12,91.67,100.0,1.17,1.0,1,3,JUGGLE,1
LEAGUE,12,91.67,91.67,1.58,1.0,1,8,GYM,1
LICENSE,12,91.67,91.67,2.08,1.0,1,14,CAMERA,1
JUICE2,12,91.67,91.67,13.17,1.0,1,147,BULL,1
INTERPRETER,11,90.91,100.0,1.09,1.0,1,2,FEEDBACK,1
TTY,11,90.91,90.91,1.55,1.0,1,7,DUCK1,1
WALRUS,11,90.91,90.91,6.45,1.0,1,61,MEETING,1
LIFT1,10,90.0,100.0,1.1,1.0,1,2,SERVE1,1
HOOD,10,90.0,90.0,1.9,1.0,1,10,HOODIE1,1
OK,10,90.0,90.0,4.6,1.0,1,37,YAWN2,1
AUTISM1,10,90.0,90.0,16.7,1.0,1,158,SHEEP,1
BUS,14,85.71,100.0,1.36,1.0,1,5,HABIT,1
ALPHABET,14,85.71,92.86,5.79,1.0,1,67,IF,1
DIVORCE,13,84.62,92.31,1.46,1.0,1,6,BIG,1
MAGNET2,13,84.62,92.31,1.92,1.0,1,10,MAGNET4,1
MUSTACHE,13,84.62,92.31,109.77,1.0,1,1414,LIGHTNING,1
ENGINEER,12,83.33,100.0,1.17,1.0,1,2,ACTOR,1
SHOOTING,12,83.33,100.0,1.17,1.0,1,2,SHOOT1,1
DATE,12,83.33,100.0,1.25,1.0,1,3,DEPARTMENT,1
OUR,12,83.33,100.0,1.25,1.0,1,3,NEW,1
EARSUP,12,83.33,100.0,1.33,1.0,1,4,TOURNAMENT,1
TOTAL,12,83.33,100.0,1.42,1.0,1,4,MEETING,1
VERY,12,83.33,100.0,1.42,1.0,1,5,HURRY,1
FENCE1,12,83.33,100.0,1.5,1.0,1,5,MICROWAVE,1
DEER,12,83.33,100.0,1.58,1.0,1,5,DECORATE1,1
NOTHING1,12,83.33,91.67,1.75,1.0,1,9,TEACH1,1
ILOVEYOU,12,83.33,91.67,2.5,1.0,1,18,AIRPLANE,1
BULL,12,83.33,91.67,3.67,1.0,1,29,YEAH,1
HURRICANE,12,83.33,91.67,20.33,1.0,1,231,PARACHUTE3,1
BRICK,12,83.33,91.67,30.58,1.0,1,353,CAT2,1
INTERVIEW,12,83.33,91.67,31.25,1.0,1,362,KISS2,1
BRA1,12,83.33,91.67,77.17,1.0,1,914,TUBETOP,1
HUMMINGBIRD,11,81.82,100.0,1.18,1.0,1,2,HUNDRED,1
SOFT,11,81.82,100.0,1.18,1.0,1,2,LIFT1,1
SKI,11,81.82,100.0,1.27,1.0,1,3,SKATE,1
LOBSTER2,11,81.82,100.0,1.36,1.0,1,4,PEOPLE,1
FEBRUARY,11,81.82,100.0,1.64,1.0,1,5,CLOSE,1
KISS3,11,81.82,90.91,1.64,1.0,1,7,KISS2,2
SIX,11,81.82,90.91,2.27,1.0,1,14,TALK1,1
