Gloss,Videos,Top-1 (%),Top-5 (%),Average Rank,Median Rank,Best Rank,Worst Rank,Most Common Wrong Prediction,Wrong Prediction Count
BISON,12,100.0,100.0,1.0,1.0,1,1,NONE,0
EASTER,13,100.0,100.0,1.0,1.0,1,1,NONE,0
EIGHT,10,100.0,100.0,1.0,1.0,1,1,NONE,0
HUNDRED,12,100.0,100.0,1.0,1.0,1,1,NONE,0
INDEPENDENT,10,100.0,100.0,1.0,1.0,1,1,NONE,0
ORGANIZATION,13,100.0,100.0,1.0,1.0,1,1,NONE,0
WATERSKI,12,100.0,100.0,1.0,1.0,1,1,NONE,0
WORKSHOP,12,100.0,100.0,1.0,1.0,1,1,NONE,0
BREAK,13,92.31,100.0,1.23,1.0,1,4,DRAWER,1
DEPARTMENT,13,92.31,100.0,1.23,1.0,1,4,ORGANIZATION,1
BADGE,12,91.67,100.0,1.08,1.0,1,2,CARDS,1
FAMILY,12,91.67,100.0,1.17,1.0,1,3,JUGGLE,1
LEAGUE,12,91.67,91.67,1.58,1.0,1,8,GYM,1
LICENSE,12,91.67,91.67,2.08,1.0,1,14,CAMERA,1
JUICE2,12,91.67,91.67,13.17,1.0,1,147,BULL,1
INTERPRETER,11,90.91,100.0,1.09,1.0,1,2,FEEDBACK,1
TTY,11,90.91,90.91,1.55,1.0,1,7,DUCK1,1
WALRUS,11,90.91,90.91,6.45,1.0,1,61,MEETING,1
LIFT1,10,90.0,100.0,1.1,1.0,1,2,SERVE1,1
HOOD,10,90.0,90.0,1.9,1.0,1,10,HOODIE1,1
OK,10,90.0,90.0,4.6,1.0,1,37,YAWN2,1
AUTISM1,10,90.0,90.0,16.7,1.0,1,158,SHEEP,1
