Gloss,Videos,Top-1 (%),Top-5 (%),Average Rank,Median Rank,Best Rank,Worst Rank,Most Common Wrong Prediction,Wrong Prediction Count,Demo Category
BISON,12,100.0,100.0,1.0,1.0,1,1,NONE,0,ELITE
EASTER,13,100.0,100.0,1.0,1.0,1,1,NONE,0,ELITE
EIGHT,10,100.0,100.0,1.0,1.0,1,1,NONE,0,ELITE
HUNDRED,12,100.0,100.0,1.0,1.0,1,1,NONE,0,ELITE
INDEPENDENT,10,100.0,100.0,1.0,1.0,1,1,NONE,0,ELITE
ORGANIZATION,13,100.0,100.0,1.0,1.0,1,1,NONE,0,ELITE
WATERSKI,12,100.0,100.0,1.0,1.0,1,1,NONE,0,ELITE
WORKSHOP,12,100.0,100.0,1.0,1.0,1,1,NONE,0,ELITE
BREAK,13,92.31,100.0,1.23,1.0,1,4,DRAWER,1,ELITE
DEPARTMENT,13,92.31,100.0,1.23,1.0,1,4,ORGANIZATION,1,ELITE
BADGE,12,91.67,100.0,1.08,1.0,1,2,CARDS,1,ELITE
FAMILY,12,91.67,100.0,1.17,1.0,1,3,JUGGLE,1,ELITE
LEAGUE,12,91.67,91.67,1.58,1.0,1,8,GYM,1,ELITE
LICENSE,12,91.67,91.67,2.08,1.0,1,14,CAMERA,1,ELITE
JUICE2,12,91.67,91.67,13.17,1.0,1,147,BULL,1,ELITE
INTERPRETER,11,90.91,100.0,1.09,1.0,1,2,FEEDBACK,1,ELITE
TTY,11,90.91,90.91,1.55,1.0,1,7,DUCK1,1,ELITE
WALRUS,11,90.91,90.91,6.45,1.0,1,61,MEETING,1,ELITE
LIFT1,10,90.0,100.0,1.1,1.0,1,2,SERVE1,1,ELITE
HOOD,10,90.0,90.0,1.9,1.0,1,10,HOODIE1,1,ELITE
BUS,14,85.71,100.0,1.36,1.0,1,5,HABIT,1,STRONG
ALPHABET,14,85.71,92.86,5.79,1.0,1,67,IF,1,STRONG
DIVORCE,13,84.62,92.31,1.46,1.0,1,6,BIG,1,STRONG
MAGNET2,13,84.62,92.31,1.92,1.0,1,10,MAGNET4,1,STRONG
MUSTACHE,13,84.62,92.31,109.77,1.0,1,1414,LIGHTNING,1,STRONG
ENGINEER,12,83.33,100.0,1.17,1.0,1,2,ACTOR,1,STRONG
SHOOTING,12,83.33,100.0,1.17,1.0,1,2,SHOOT1,1,STRONG
DATE,12,83.33,100.0,1.25,1.0,1,3,DEPARTMENT,1,STRONG
OUR,12,83.33,100.0,1.25,1.0,1,3,NEW,1,STRONG
EARSUP,12,83.33,100.0,1.33,1.0,1,4,TOURNAMENT,1,STRONG
TOTAL,12,83.33,100.0,1.42,1.0,1,4,MEETING,1,STRONG
VERY,12,83.33,100.0,1.42,1.0,1,5,HURRY,1,STRONG
FENCE1,12,83.33,100.0,1.5,1.0,1,5,MICROWAVE,1,STRONG
DEER,12,83.33,100.0,1.58,1.0,1,5,DECORATE1,1,STRONG
NOTHING1,12,83.33,91.67,1.75,1.0,1,9,TEACH1,1,STRONG
ILOVEYOU,12,83.33,91.67,2.5,1.0,1,18,AIRPLANE,1,STRONG
BULL,12,83.33,91.67,3.67,1.0,1,29,YEAH,1,STRONG
HURRICANE,12,83.33,91.67,20.33,1.0,1,231,PARACHUTE3,1,STRONG
BRICK,12,83.33,91.67,30.58,1.0,1,353,CAT2,1,STRONG
INTERVIEW,12,83.33,91.67,31.25,1.0,1,362,KISS2,1,STRONG
HAPPEN,13,69.23,100.0,1.46,1.0,1,3,PIZZA1,1,TOP-5 FRIENDLY
SAMETIME,13,69.23,100.0,1.46,1.0,1,3,TTY,1,TOP-5 FRIENDLY
FIRST,13,69.23,100.0,2.0,1.0,1,5,BORED1,2,TOP-5 FRIENDLY
VEGETABLE,13,69.23,92.31,2.0,1.0,1,6,MISUNDERSTAND,2,TOP-5 FRIENDLY
DESERT,13,69.23,92.31,2.15,1.0,1,12,EXPECT,2,TOP-5 FRIENDLY
ACCOMPLISH,13,69.23,92.31,2.85,1.0,1,22,ANNOUNCE,3,TOP-5 FRIENDLY
NOSEBLEED,13,69.23,92.31,15.15,1.0,1,182,DROWN4,1,TOP-5 FRIENDLY
TINY,13,69.23,92.31,16.69,1.0,1,201,ELEVEN,1,TOP-5 FRIENDLY
LONGWORD,13,69.23,84.62,2.0,1.0,1,7,EYEGLASSES,1,TOP-5 FRIENDLY
WEDNESDAY,13,69.23,84.62,2.31,1.0,1,10,FOUR,2,TOP-5 FRIENDLY
